id,author
76,A.Stern Journal-ref: Int. J. Mod. Phys. A7 5855 In a previous work
77,a straightforward canonical approach to the source-free quantum Chern-Simons dynamics was developed. It makes use of neither gauge conditions nor functional integrals
78,needs only ideas known from QCD
79,quantum gravity. It gives Witten's conformal edge states in a simple way when the spatial slice is a disc. Here we extend the formalism by including sources as well. The quantum states of a source with a fixed spatial location are shown to be those of a conformal family
80,a result also discovered first by Witten. The internal states of a source are not thus associated with just a single ray of a Hilbert space. Vertex operators for both abelian
81,nonabelian sources are constructed. The regularized abelian Wilson line is proved to be a vertex operator. We also argue in favor of a similar nonabelian result. The spin-statistics theorem is established for Chern-Simons dynamics even though the sources are not described by relativistic quantum fields. The proof employs geometrical methods which we find are strikingly transparent
82,pleasing. It is based on the research of European physicists about ``fields localized on cones.''
83,H. Lu
84,C.N. Pope
85,S. Schrans
86,K.W. Xu
87,M. Bordemann
88,M. Forger
89,J. Laartz
90,U. Schaeper
91,J. Maharana
92,S. mukherji
93,Edward Witten
94,R.Efraty
95,V.P.Nair
96,Sidney Coleman
97,John Preskill
98,Frank Wilczek
99,J.M. Lina
100,P.K. Panigrahi
101,T.Banks
102,A. Dabolkhar
103,M.R. Douglas
104,M. O' Loughlin
105,G. Bimonte
106,P. Salomonson
107,A. Simoni
108,A. Stern
109,Marc Kamionkowski
110,John March-Russell
111,Yoichiro Matsumura
112,Norisuke Sakai
113,Yoshiaki Tanii
114,G. W. Delius
115,M.T. Grisaru
116,D. Zanon
117,M. Martellini
118,M. Spreafico
119,K. Yoshida
120,E.Nissimov
121,S.Pacheva
122,I.Vaysburd Journal-ref: Phys.Lett. B288 254-262 We derive the explicit form of the Wess-Zumino quantum effective action of chiral $
123,Winf$-symmetric system of matter fields coupled to a general chiral $
124,Winf$-gravity background. It is expressed as a geometric action on a coadjoint orbit of the deformed group of area-preserving diffeomorphisms on cylinder whose underlying Lie algebra is the centrally-extended algebra of symbols of differential operators on the circle. Also
125,we present a systematic derivation
126,in terms of symbols
127,"of the ``hidden"" $SL ( infty"
128,IR )$ Kac-Moody currents
129,the associated $SL ( infty
130,IR )$ Sugawara form of energy-momentum tensor component $T_{++}$ as a consequence of the $SL ( infty
131,IR )$ stationary subgroup of the relevant $
132,Winf$ coadjoint orbit.
133,N. Chair
134,V.K. Dobrev
135,H. Kanno
136,L. Susskind
137,L. Thorlacius
138,K.Amano
139,S.Higuchi
140,Philip C. Argyres
141,Keith R. Dienes
142,S.-H. Henry Tye
143,M. Bauer
144,N. Sochen
145,P. Furlan
146,A. Ch. Ganchev
147,R. Paunov
148,V. B. Petkova
149,N. Read
150,G. Moore
151,Stephen-wei Chung
152,S.B. Giddings
153,A. Strominger
154,James M. Grochocinski
155,Y. Imamura
156,M. Sakamoto
157,T. Sasada
158,M. Tabuse
159,P. Fendley
160,K. Intriligator
161,Satoshi Iso
162,Dimitra Karabali
163,B. Sakita
164,C.F.E. Holzhey
165,F. Wilczek
166,Noah Linden
167,Malcolm Perry
168,Bernd Bruegmann
169,Rodolfo Gambini
170,Jorge Pullin
171,Richard H. Price
172,Christopher Ting
173,C. H. Lai
174,G. Ferretti
175,S.G. Rajeev
176,Alexander Balatsky (Los Alamos National Laboratory
177,Theoretical Division
178,Landau Institute for Theoretical Physics
179,Moscow
180,USSR) In this paper we present a theory of Singlet Quantum Hall Effect . We show that the Halperin-Haldane SQHE wave function can be written in the form of a product of a wave function for charged semions in a magnetic field
181,a wave function for the Chiral Spin Liquid of neutral spin-$ 12$ semions. We introduce field-theoretic model in which the electron operators are factorized in terms of charged spinless semions
182,neutral spin-$ 12$ semions . Broken time reversal symmetry
183,short ranged spin correlations lead to $SU_{k=1}$ Chern-Simons term in Landau-Ginzburg action for SQHE phase. We construct appropriate coherent states for SQHE phase
184,"show the existence of $SU$ valued gauge potential. This potential appears as a result of ``spin rigidity"" of the ground state against any displacements of nodes of wave function from positions of the particles"
185,reflects the nontrivial monodromy in the presence of these displacements.
186,L.F. Cugliandolo
187,G.L. Rossini
188,F.A. Schaposnik
189,G. Papadopoulos
190,B. Spence
191,Timothy R. Klassen
192,Ezer Melzer
193,P.S. Howe
194,L. F. Cugliandolo
195,F. A. Schaposnik
196,H. Vucetich
197,Maximilian Kreuzer
198,Harald Skarke
199,Jose M. Figueroa-O'Farrill
200,Eduardo Ramos
201,H.O. Girotti
202,M. Gomes
203,V.O. Rivelles
204,Luis E. Ibanez
205,Dieter Luest
206,Daniel Altschuler
207,Antoine Coste
208,I.Ya.Aref'eva
209,A.P.Zubarev String field theory for the non-critical NSR string is described. In particular it gives string field theory for the 2D super-gravity coupled to a $ hat{c}=1$ matter field. For this purpose double-step pictures changing operators for the non-critical NSR string are constructed. Analogues of the critical supersymmetry transformations are written for $D<10$
210,they form a closed on-shell algebra
211,however their action on vertices is defined only for discrete value of the Liouville momentum. For D=2 this means that spinor massless field has its superpartner in the NS sector only if its momentum is fixed. Starting from string field theory we calculate string amplitudes. These amplitudes for D=2 have poles which are related with discrete set of primary fields
212,namely 2R$ to$2R amplitude has poles corresponding to the n-level NS excitations with discrete momenta $p_1=n
213,~~p_2=-1 pm $.
214,J.D. Cohn
215,H. Dykstra
216,P.~Berglund
217,B.R.~Greene
218,"T.~H ""ubsch"
219,W.D.McGlinn
220,L.O'Raifeartaigh
221,S.Sen
222,R.D.Sorkin
223,A.M.Srivastava
224,Abhay Ashtekar
225,C.J. Isham
226,Carlo Rovelli
227,Lee Smolin
228,D.B. Fairlie
229,J. Govaerts
230,Katsushi Ito
231,Jens Ole Madsen
232,Mary K. Gaillard
233,T.R. Taylor
234,X.J. Wang
235,Michael Wolf
236,Jean Avan
237,Antal Jevicki
238,R.B. Mann
239,M.S. Morris
240,S.F. Ross
241,G.W. Delius
242,H. G. Kausch
243,G. M. T. Watts
244,Giorgio Immirzi (Universita' di Perugia & INFN Perugia
245,Italy)
246,Peter G. O. Freund
247,Anton V. Zabrodin
248,Mark Alford
249,Andrew Strominger
250,B. S. Balakrishna
251,Kameshwar C. Wali
252,Yukihisa Itoh
253,Haye Hinrichsen
254,Vladimir Rittenberg
255,Makoto Sakamoto
256,Masayoshi Tabuse
257,Tsutomu Horiguchi
258,C. Callan
259,A. Felce
260,D. Freed
261,R. Saroja
262,A. Sen
263,E. Abdalla
264,M.C.B. Abdalla
265,D. Dalmazi
266,K. Harada
267,Paul Ginsparg
268,Fernando Quevedo
269,Shun-ichi Yamaguchi
270,F. Colomo
271,A. Koubek
272,G. Mussardo
273,A.N. Kirillov
274,P. Mathieu
275,D. Senechal
276,M. Walton
277,K.N. Anagnostopoulos
278,M. J. Bowick
279,Kiyoshi Kamimura
280,Sinobu Makita
281,Takeshi Fukuyama
282,Domenico Giulini
283,Jorma Louko
284,Amit Giveon
285,Alfred Shapere
286,J. Ambjorn
287,John Ellis
288,N.E. Mavromatos
289,D.V. Nanopoulos
290,T.R.Govindarajan
291,R.Shankar
292,N.Shaji
293,M.Sivakumar
294,Lay Nam Chang
295,Chopin Soo
296,Nicola Maggiore
297,Paolo Provero
298,Gary Kleppe
299,R. P. Woodard
300,Joaquim Gomis
301,Hiroshi Suzuki
302,Clifford Johnson
303,Tim Morris
304,Bill Spence
305,G.W. Gibbons
306,M.E. Ortiz
307,F. Ruiz Ruiz
308,T.M. Samols
309,J. Lopez
310,D. Nanopoulos
311,K. Yuan
312,Kurt Haller
313,Edwin Lombridas
314,Ivan K. Kostov
315,Matthias Staudacher
316,C. Gomez
317,G. Sierra
318,G.Aldazabal
319,J.M.Maldacena
320,I. T. Ivanov
321,D. B. Uglov Subj-class: High Energy Physics - Theory
322,Quantum Algebra
323,Exactly Solvable
324,Integrable Systems Journal-ref: Phys.Lett. A167 459-464 R-matrices for the semicyclic representations of U_qsl^ are found as a limit in the checkerboard chiral Potts model.
325,F. De Jonghe
326,R. Siebelink
327,W. Troost
328,Mikhail V. Saveliev
329,Julian Barbour
330,B. Birnir
331,J.A. Harvey
332,M.Olshanetsky
333,E.S. Fradkin
334,V.Ya Linetsky
335,F.Alexander Bais
336,Peter van Driel
337,Mark de Wild Propitius Journal-ref: Phys. Lett. B280 63-70 We analyse the fusion
338,braiding
339,scattering properties of discrete non-abelian anyons. These occur in -dimensional theories where a gauge group G is spontaneously broken down to some discrete subgroup H. We identify the quantumnumbers of the electrically
340,magnetically charged sectors of the remaining discrete gauge theory
341,show that on the quantum level the symmetry group H is extended to the Hopf algebra D. Most of our considerations are relevant for discrete gauge theories in -dimensional space time as well.
342,Mark de Wild Propitius
343,Dan Christensen
344,Robert B. Mann
345,A.Galperin
346,E.Sokatchev
347,M.Carfora
348,M.Martellini
349,A.Marzuoli
350,G.Bonacina
351,A.Gamba
352,Daniel Cangemi
353,Roman Jackiw
354,J. Distler
355,M. Doyle
356,R. Plesser
357,C. Destri
358,H.J. de Vega
359,S. Cecotti
360,C. Vafa
361,Ralph Lano
362,V.G.J. Rodgers
363,Lev Rozansky
364,Herbert Saleur
365,I. Antoniadis
366,E. Gava
367,K. S. Narain
368,S.J. Gates
369,Jr
370,H. Nishino
371,S.V. Ketov
372,Jr.
373,Dan Kabat
374,Miguel Ortiz
375,James H. Horne
376,Gary T. Horowitz
377,A.Aurilia
378,E.Spallucci
379,T. T. Burwick
380,A. H. Chamseddine
381,Srinandan Dasmahapatra
382,Rinat Kedem
383,Barry McCoy
384,Daniel Z. Freedman
385,Gianluca Grignani
386,Nuria Rius
387,Kenneth Johnson
388,H.Itoyama
389,B.Razzaghe-Ashrafi
390,Giuseppe Bonacina
391,Mario Rasetti We show that 2+1-dimensional Euclidean quantum gravity is equivalent
392,under some mild topological assumptions
393,to a Gaussian fermionic system. In particular
394,for manifolds topologically equivalent to $ Sigma_g times RrR$ with $ Sigma_g$ a closed
395,oriented Riemann surface of genus $g$
396,the corresponding 2+1-dimensional Euclidean quantum gravity may be related to the 3D-lattice Ising model before its thermodynamic limit.
397,Taro Kashiwa
398,Shuji Nima
399,Seiji Sakoda
400,Supriya K. Kar
401,Alok Kumar
402,B. de Carlos
403,J.A. Casas
404,C. Mu ~noz
405,T.T. Burwick
406,A.H. Chamseddine
407,K.Meissner
408,E.Ivanov
409,S.Krivonos
410,A.Pichugin
411,Sanjay Jain
412,Samir D. Mathur
413,E. Brezin
414,S. Hikami
415,L.Bonora
416,C.S.Xiong
417,D. Gepner
418,A. Schwimmer (Weizmann Institute of science
419,Israel) Journal-ref: Nucl.Phys. B380 147-167 The fusion of fields in a rational conformal field theory gives rise to a ring structure which has a very particular form. All such rings studied so far were shown to arise from some potentials. In this paper the fusion rings of the WZW models based on the symplectic group are studied. It is shown that they indeed arise from potentials which are described. These potentials give rise to new massive perturbations of superconformal hermitian symmetric models. The metric of the perturbation is computed
420,is shown to be given by solutions of the sinh--gordon equation. The kink structure of the theories is described
421,it is argued that these field theories are integrable. The $S$ matrices for the fusion theories are argued to be non--minimal extensions of the $G_k times G_1/ G_{k+1}$ $S$ matrices with the adjoint perturbation
422,in the case of $G=SU$.
423,N. Manojlovic
424,A. Mikovic
425,Ruth Gregory
426,Jeffrey Harvey
427,Olaf Lechtenfeld
428,Chiara Nappi
429,Avinash Dhar
430,Gautam Mandal
431,Spenta R. Wadia
432,K.S. Narain
433,M. Cvetic
434,S. Griffies
435,A. Carlini
436,F. Fucito
437,A. Ceresole
438,R. D'Auria
439,S. Ferrara
440,W. Lerche
441,J. Louis
442,S. Stieberger
443,D. Jungnickel
444,J. Lauer
445,M. Spalinski
446,A.Smailagic
447,P. Fr `e
448,P. Soriani
449,P. Fre'
450,L. Girardello
451,A. Lerda
452,Toshio Nakatsu
453,Yuji Sugawara
454,Silvio P. Sorella
455,Alberto Blasi
456,David Eliezer
457,Gordon Semenoff
458,M. Bershadsky
459,D. Kutasov
460,Igor R. Klebanov
461,Andrea Pasquinucci
462,R. Giachetti
463,E. Sorace
464,Gerald Dunne
465,Roman Jackiw Journal-ref: Commun.Math.Phys. 150 519-535 The two-dimensional self-dual Chern--Simons equations are equivalent to the conditions for static
466,"zero-energy solutions of the $$-dimensional gauged nonlinear Schr ""odinger equation with Chern--Simons matter-gauge dynamics. In this paper we classify all finite charge $SU$ solutions by first transforming the self-dual Chern--Simons equations into the two-dimensional chiral model equations"
467,then using the Uhlenbeck--Wood classification of harmonic maps into the unitary groups. This construction also leads to a new relationship between the $SU$ Toda
468,$SU$ chiral model solutions.
469,Roman Jackiw Journal-ref: Nucl.Phys.Proc.Suppl. 33C 114-118 An elementary derivation is given for the ``Peierles substitution'' used in projecting dynamics in a strong magnetic field onto the lowest Landau level. The projection of wavefunctions
470,the ordering prescription for the projected Hamiltonian is explained.
471,Hideaki Aoyama
472,Arihiro Tamura
473,A.Klemm
474,R.Schimmrigk
475,J.P. Rodrigues
476,A.J. van Tonder
477,Brian Davies
478,Omar Foda
479,Michio Jimbo
480,Tetsuji Miwa
481,Atsushi Nakayashiki
482,Jordi Par '{ i}s
483,Kenichro Aoki
484,Eric D'Hoker
485,F. Delduc
486,E. Sokatchev
487,W.M. Nelson
488,D. B. Fairlie
489,S.G.Rajeev
490,Z. Yang
491,A. Kent
492,G. Watts
493,Juan Garcia-Bellido
494,Mariano Quiros
495,Claudio Coriano'
496,Rajesh R. Parwani
497,Hidenaga Yamagishi
498,Ismail Zahed
499,B. Eynard
500,J. Zinn-Justin
501,B.~Gato-Rivera
502,A.~M.~Semikhatov
503,Y. Frishman
504,J. Lukierski
505,W.J. Zakrzewski
506,H. Dorn
507,H.-J. Otto
508,A.T.Filippov
509,A.P.Isaev
510,A.B.Kurdikov
511,Gary W. Gibbons
512,Malcolm J. Perry Journal-ref: Int.J.Mod.Phys. D1 335-354 We examine the two-dimensional spacetimes that emerge from string theory. We find all the solutions with no tachyons
513,show that the only non-trivial solution is the black hole spacetime. We examine the role of duality in this picture. We then explore the thermodynamics of these solutions which is complicated by the fact that only in two spacetime dimensions is it impossible to redefine the dilaton field in terms of a canonical scalar field. Finally
514,we extend our analysis to the heterotic string
515,briefly comment on exact
516,as opposed to perturbative
517,solutions.
518,H. Saleur
519,O. Aharony
520,O. Ganor
521,N. Sochen J. Sonnenschein
522,S. Yankielowicz
523,M 'aximo Ba ~nados
524,Claudio Teitelboim
525,Jorge Zanelli
526,Z. Maassarani
527,D. Nemeschansky
528,N.P. Warner
529,Choonkyu Lee Journal-ref: Phys.Rev. D46 4768-4771 We consider here a generalization of the Abelian Higgs model in curved space
530,by adding a Chern--Simons term. The static equations are self-dual provided we choose a suitable potential. The solutions give a self-dual Maxwell--Chern--Simons soliton that possesses a mass
531,a spin.
532,Sergio Cecotti
533,Paul Fendley
534,Ken Intriligator
535,Cumrun Vafa
536,Vidyut Jain
537,Oleg Ogievetsky
538,H. Awata
539,Y. Yamada
540,O. Ogievetsky
541,B. Zumino
542,Glenn Barnich
543,Marc Henneaux
544,Gabriel Lopes Cardoso
545,Burt A. Ovrut
546,L. Alvarez-Gaume
547,J.L.F. Barbon
548,M. Dine
549,R.G. Leigh
550,D.A. MacIntire
551,B. de Wit
552,E. Rabinovici
553,H. Nicolai
554,P.O. Mazur
555,E. Mottola
556,A.P.Zubarev Journal-ref: Mod.Phys.Lett. A8 1469-1476 Scattering amplitudes for discrete states in 2D string theory are considered. Pole divergences of tree-level amplitudes are extracted
557,residues are interpreted as renormalized amplitudes for discrete states. An effective Lagrangian generating renormalized amplitudes for open string is written
558,corresponding Ward identities are presented. A relation of this Lagrangian with homotopy Lie algebra is discussed.
559,B. Harms
560,Y. Leblanc
561,Rue-Ron Hsu
562,Green Huang
563,Wei-Fu Lin
564,Chin-Rong Lee
565,M. Fabbrichesi
566,R. Iengo
567,K. Roland
568,Vipul Periwal
569,Renata Kallosh
570,Andrei Linde
571,Tom 'as Ort 'in
572,Amanda Peet
573,Antoine Van Proeyen
574,Paul Langacker
575,Costas Bachas
576,Marios Petropoulos
577,I. Bars
578,K. Sfetsos
579,P. P. Kulish
580,R. Sasaki
581,C. Schwiebert
582,Albrecht Klemm
583,Stefan Theisen
584,Joseph Polchinski
585,Zhu Yang
586,Silvia Penati
587,Daniela Zanon
588,C. Kounnas
589,D. Luest
590,E. Elizalde
591,S.D. Odintsov (Department E.C.M.
592,Faculty of Physics
593,University of Barcelona
594,Spain)
595,S.D.Odintsov (Department E.C.M.
596,H.Lu
597,Kei Miki
598,Clifford V.Johnson
599,Tim R. Morris
600,"Anders W ""atterstam"
601,V. Kazakov
602,I. Kostov Report-no: SPhT/92-049 Journal-ref: Nucl.Phys. B386 520-557 The open string with one-dimensional target space is formulated in terms of an SOS
603,or loop gas
604,model on a random surface. We solve an integral equation for the loop amplitude with Dirichlet
605,Neumann boundary conditions imposed on different pieces of its boundary. The result is used to calculate the mean values of order
606,disorder operators
607,to construct the string propagator
608,find its spectrum of excitations. The latter is not sensible neither to the string tension $ L$ nor to the mass $ mu$ of the ``quarks'' at the ends of the string. As in the case of closed strings
609,the SOS formulation allows to construct a Feynman diagram technique for the string interaction amplitudes.
610,M. Cveti v c
611,R. L. Davis
612,Jennie Traschen
613,Robert Ferrel
614,S. Pratik Khastgir
615,Gautam Sengupta
616,D. Bernard
617,A. LeClair
618,H.Y. Lee
619,A. Nakamichi
620,T. Ueno
621,H. Grosse
622,W. Kummer
623,P. Pre v{s}najder
624,D.J. Schwarz
625,C.F. Kristjansen
626,K. S. Gupta
627,Stephen G. Naculich
628,Harold A. Riggs
629,Howard J. Schnitzer
630,Tatsuo Kobayashi
631,Tsuneo Uematsu
632,Adel Bilal
633,Curtis Callan
634,J. David Vergara
635,P. van Nieuwenhuizen
636,L. Dolan
637,James T. Liu
638,Hisao Suzuki
639,L.Chekhov We study the algebraic geometrical background of the Penner--Kontsevich matrix model with the potential $N alpha tr { bigl+X bigr)}$. We show that this model describes intersection indices of linear bundles on the discretized moduli space right in the same fashion as the Kontsevich model is related to intersection indices on the Riemann surfaces of arbitrary genera. The special role of the logarithmic potential originated from the Penner matrix model is demonstrated. The boundary effects which was unessential in the case of the Kontsevich model are now relevant
640,intersection indices on the discretized moduli space of genus $g$ are expressed through Kontsevich's indices of the genus $g$
641,of the lower genera.
642,R. Cuerno
643,P.C. Argyres
644,E. Lyman
645,S.-H.H. Tye
646,Leonard Susskind
647,Larus Thorlacius
648,Hsien-Chung Kao
649,Kimyeong Lee
650,A.P. Balachandran
651,P. Teotonio-Sobrinho
652,Feng Yu
653,Yong-Shi Wu
654,A. Berkovich
655,Olivier Babelon
656,Denis Bernard
657,G. Giavarini
658,C.P. Martin
659,A. Hietamaki
660,A.J. Niemi
661,Shahn Majid
662,M.J Rodriguez-Plaza
663,Neil Marcus
664,Yaron Oz
665,V.A. Kazakov
666,A.A. Migdal
667,Jnanadeva Maharana
668,S. Mignemi
669,N. R. Stewart
670,Peter Schupp
671,Paul Watts
672,Bruno Zumino
673,J.S.Dowker
674,A.Wolski
675,E. Bergshoeff
676,L.A.J London
677,P.K. Townsend
678,A. Cappelli
679,C. A. Trugenberger
680,G. R. Zemba
681,D.Z.Freedman
682,K.Johnson
683,R.Munoz-Tapia
684,X.Vilasis-Cardona
685,C. M. Hull
686,L. Palacios
687,L. Begin
688,M.A. Walton
689,Antti J. Niemi
690,O. Tirkkonen
691,Atsuo Kuniba
692,Tomoki Nakanishi
693,Edouard Br 'ezin
694,Jean Zinn-Justin Report-no: LPTENS 92/19
695,SPhT/92-064 Journal-ref: Phys.Lett. B288 54-58 Matrix models of 2D quantum gravity are either exactly solvable for matter of central charge $ c leq 1
696,$ or not understood. It would be useful to devise an approximate scheme which would be reasonable for the known cases
697,could be carried to the unsolved cases in order to achieve at least a qualitative understanding of the properties of the models. The double scaling limit is an indication that a change of the length scale induces a flow in the parameters of the theory
698,the size of the matrix
699,the coupling constants for matrix models
700,at constant long distances physics. We construct here these renormalization group equations at lowest orders in various cases to check that we reproduce qualitatively the properties of $ c leq 1 $ models.
701,Peter Chang
702,Nuria Rius Journal-ref: Phys.Lett. B293 367-374 We show that there is a very simple relationship between differential
703,dimensional renormalization of low-order Feynman graphs in renormalizable massless quantum field theories. The beauty of the differential approach is that it achieves the same finite results as dimensional renormalization without the need to modify the space time dimension.
704,M. Leblanc
705,G. Lozano
706,H. Min
707,Fernando Martinez-Moras
708,Y.Imamura
709,M.Sakamoto
710,T.Sasada
711,M.Tabuse
712,S.D. Odintsov
713,Joseph A. Minahan
714,Alexios P. Polychronakos
715,Luca Mezincescu
716,Rafael I. Nepomechie
717,L. Brink
718,T.H. Hansson
719,M.A. Vasiliev
720,Patrick Dorey
721,Francesco Ravanini
722,T. Banks
723,M. O'Loughlin Journal-ref: Phys.Rev. D47 540-553 We argue that the paradoxes associated with infinitely degenerate states
724,which plague relic particle scenarios for the endpoint of black hole evaporation
725,may be absent when the relics are horned particles. Most of our arguments are based on simple observations about the classical geometry of extremal dilaton black holes
726,but at a crucial point we are forced to speculate about classical solutions to string theory in which the infinite coupling singularity of the extremal dilaton solution is shielded by a condensate of massless modes propagating in its infinite horn. We use the nonsingular $c=1$ solution of dimensional string theory as a crude model for the properties of the condensate. We also present a brief discussion of more general relic scenarios based on large relics of low mass.
727,Tetsuo Deguchi
728,Yasuhiro Akutsu
729,S.Dalley
730,C.V.Johnson
731,T.R.Morris
732,A.Watterstam
733,J. Sonnenschein
734,Rene Lafrance
735,Robert Myers
736,T. Altherr
737,T. Grandou
738,Clifford V. Johnson
739,Peter L. White
740,J.R. Anglin
741,R.C. Myers
742,Theodore J. Allen
743,Andrew J. Bordner
744,Z. Bajnok
745,L.Palla
746,G. Takacs
747,A. Das
748,Z. Khviengia
749,Chiara R. Nappi
750,Debashis Ghoshal
751,Dileep P. Jatkar
752,Sunil Mukhi
753,Hikaru Kawai
754,Yoshihisa Kitazawa
755,Masao Ninomiya
756,F. G 'omez
757,Shin'ichi Nojiri
758,Ichiro Oda
759,Jean-Pierre Ader
760,Francois Gieres
761,Yves Noirot
762,So-Young Pi
763,Stanley Deser
764,Ian I Kogan
765,Gordon W Semenoff
766,Nathan Weiss Report-no: ubctp92-022 Journal-ref: Phys.Rev.Lett. 69 3435-3438 We show that a lattice model for induced lattice QCD which was recently proposed by Kazakov
767,Migdal has a $Z_N$ gauge symmetry which
768,in the strong coupling phase
769,results in a local confinement where only color singlets are allowed to propagate along links
770,all Wilson loops for non-singlets average to zero. We argue that
771,if this model is to give QCD in its continuum limit
772,it must have a phase transition. We give arguments to support presence of such a phase transition.
773,H.Aratyn
774,S. Vandoren
775,A. Van Proeyen
776,Jan de Boer
777,Jacob Goeree
778,J. Alfaro
779,P.H. Damgaard
780,C.S.Aulakh
781,V.Soni
782,M. Dubois-Violette
783,M. Henneaux
784,CM. Viallet
785,Shyamoli Chaudhuri
786,Joseph D. Lykken
787,Toshiya Kawai
788,Taku Uchino
789,Sung-Kil Yang
790,Swapna Mahapatra
791,Sudipta Mukherji
792,Anirvan M. Sengupta
793,G.Watts
794,R Weston
795,Eduardo Fradkin
796,Enrique Moreno
797,Fidel A.Schaposnik
798,B. Gato-Rivera
799,A.M.Semikhatov
800,J. Isberg
801,"U. Lindstr ""{o}m"
802,B. Sundborg
803,Fabian H.L. Essler
804,Vladimir E. Korepin
805,Jens Lyng Petersen
806,J.M. Figueroa-O'Farrill
807,J. Mas
808,E. Ramos
809,Jnan Maharana
810,John H. Schwarz
811,J.Sonnenschein
812,Alessandro Gualzetti
813,Y.M. Makeenko
814,H.W. Braden
815,H.S. Cho
816,J.D. Kim
817,I.G. Koh
818,M. Karowski
819,R. Schrader
820,FU-Berlin
821,Fran c{c}ois Delduc
822,Mikhail Saveliev
823,M.D. Freeman
824,K. Hornfeck
825,P. West
826,A.Ch. Ganchev
827,V.B. Petkova
828,Steven B. Giddings
829,E.S.Fradkin
830,V.Ya.Linetsky
831,Sean M. Carroll
832,Edward Farhi
833,Alan H. Guth
834,F.Ravanini
835,R.Tateo
836,A.Valleriani
837,Sergei V. Ketov
838,Hitoshi Nishino
839,S. James Gates
840,Wei Chen
841,Miao Li Corrected with some rewording
842,Rodanthy Tzani
843,Emil Nissimov
844,Svetlana Pacheva
845,J. Erler
846,A. Galperin
847,P. Howe
848,N. Dorey
849,P. S. Kurzepa
850,Sudhakar Panda
851,Shibaji Roy
852,A. Treves
853,J. X. Lu
854,C.P.Constantinidis
855,J.R. Bienkowska
856,I.Klebanov
857,R. Tateo
858,David Kastor
859,M.B. Halpern
860,N.A. Obers
861,R. Blumenhagen
862,W. Eholzer
863,A. Honecker
864,R. Huebel
865,J.M. Evans
866,T.J. Hollowood
867,M.H. Sarmadi
868,P.H. Cox
869,Kanehisa Takasaki
870,Takashi Takebe
871,A.Babichenko
872,S.Elitzur
873,M. Caselle
874,A.D'Adda
875,S. Panzeri
876,Andreas Ruffing
877,Thomas Deck
878,Martin Schlichenmaier
879,V. Ogievetsky
880,F. Gursey
881,M. Evans
882,Bernard de Wit
883,Luis Alvarez-Gaume
884,K. Becker
885,M. Becker
886,R. Emparan
887,J. Manes
888,V.Bonservizi
889,L. Frappat
890,E. Ragoucy
891,P. Sorba
892,S.W.Hawking
893,J.M.Stewart
894,S. Govindarajan
895,T. Jayaraman
896,V. John
897,Jens Erler
898,A.Bellini
899,M.Ademollo
900,M.Ciafaloni
901,H.B. Nielsen
902,R. Sollacher
903,M.P. Bellon
904,J-M. Maillard
905,G. Rollet
906,C-M. Viallet
907,V. Periwal
908,Tomasz Brzezinski
909,Jonathan M. Evans
910,Philip A. Tuckey
911,I.I. Kogan
912,A. Morozov
913,G.W. Semenoff
914,N. Weiss
915,S.P. Gavrilov
916,D.M. Gitman
917,R. Kantowski
918,Caren Marzban
919,D.M.Gitman
920,A.L.Shelepin
921,S. Deser
922,A. Steif
